排名,球员姓名,位置,球队,综合mu,综合sigma,综合保守评分,国家队_mu,国家队_sigma,俱乐部_mu,俱乐部_sigma,总出场
369,José Fajardo,FW,PAN,24.97,5.03,9.88,24.97,5.03,,,13
370,Sebastián Cáceres,DF,URU,22.64,4.27,9.83,17.73,6.92,25.92,5.42,13
371,Hakan Çalhanoğlu (captain),MF,TUR,24.43,4.88,9.79,28.35,5.26,21.82,7.34,9
372,Amar Dedić,DF,BIH,26.13,5.45,9.78,26.13,5.45,,,10
373,Lucas Hernandez,DF,FRA,25.74,5.32,9.78,25.74,5.32,,,3
374,Alexander Prass,DF,AUT,25.29,5.17,9.78,25.29,5.17,,,6
375,Almoez Ali,FW,QAT,25.69,5.32,9.73,25.69,5.32,,,15
376,Nikola Katić,DF,BIH,26.07,5.45,9.72,26.07,5.45,,,9
377,Aaron Wan-Bissaka,DF,COD,25.71,5.33,9.72,25.71,5.33,,,9
378,Khojiakbar Alijonov,DF,UZB,25.11,5.14,9.69,25.11,5.14,,,18
379,Nadhir Benbouali,FW,ALG,25.42,5.25,9.67,25.42,5.25,,,3
380,Elye Wahi,FW,CIV,25.05,5.14,9.63,24.23,7.03,25.6,7.17,2
381,Youri Tielemans (captain),MF,BEL,25.05,5.14,9.63,24.23,7.03,25.6,7.17,10
382,Lyndon Dykes,FW,SCO,24.77,5.05,9.62,24.77,5.05,,,9
383,Nikola Vlašić,MF,CRO,22.66,4.35,9.61,19.23,7.03,24.95,5.53,5
384,Cedric Itten,FW,SUI,21.35,3.92,9.59,20.13,5.35,22.17,5.47,3
385,Brahim Díaz,FW,MAR,25.18,5.2,9.58,22.73,6.92,26.82,7.34,42
386,Luis Suárez,FW,COL,25.18,5.2,9.58,22.73,6.92,26.82,7.34,38
387,Thomas Partey,MF,GHA,25.37,5.27,9.56,25.37,5.27,,,10
388,Hwang Hee-chan,MF,KOR,23.71,4.72,9.55,30.44,5.28,19.23,7.03,15
389,Joris Kayembe,DF,COD,25.16,5.21,9.53,25.16,5.21,,,12
390,Lucas Mendes,DF,QAT,24.76,5.08,9.52,24.76,5.08,,,17
391,Fabinho,MF,BRA,25.67,5.39,9.5,25.67,5.39,,,3
392,Yehvann Diouf,GK,SEN,25.54,5.35,9.49,25.54,5.35,,,1
393,Stephen Eustáquio,MF,CAN,25.48,5.34,9.46,25.48,5.34,,,2
394,Carlens Arcus,DF,HAI,25.3,5.28,9.46,25.3,5.28,,,11
395,Ali Majrashi,DF,KSA,25.41,5.32,9.45,25.41,5.32,,,11
396,Aaron Hickey,DF,SCO,25.01,5.19,9.44,25.01,5.19,,,7
397,Saeid Ezatolahi,MF,IRN,25.51,5.37,9.4,25.51,5.37,,,15
398,Haris Tabaković,FW,BIH,24.8,5.14,9.38,24.8,5.14,,,4
399,İsmail Yüksek,MF,TUR,23.66,4.77,9.35,28.24,5.18,20.6,7.17,7
400,Yusuf Abdurisag,FW,QAT,22.6,4.42,9.34,13.64,7.74,28.57,5.26,8
401,Odilon Kossounou,DF,CIV,25.07,5.25,9.32,25.07,5.25,,,4
402,Saman Ghoddos,MF,IRN,25.25,5.32,9.29,25.25,5.32,,,18
403,Ellyes Skhiri (captain),MF,TUN,25.03,5.25,9.28,25.03,5.25,,,10
404,Manaf Younis,DF,IRQ,24.73,5.17,9.22,24.73,5.17,,,17
405,Alan Minda,MF,ECU,25.13,5.32,9.17,25.13,5.32,,,10
406,Robin Hranáč,DF,CZE,25.92,5.59,9.15,25.92,5.59,,,6
407,Gonzalo Plata,FW,ECU,25.64,5.5,9.14,25.64,5.5,,,12
408,Gideon Mensah,DF,GHA,24.47,5.11,9.14,24.47,5.11,,,12
409,Shurandy Sambo,DF,CUW,24.88,5.25,9.13,24.88,5.25,,,8
410,Nikola Vasilj,GK,BIH,24.57,5.15,9.12,24.57,5.15,,,11
411,Vinícius Júnior,FW,BRA,30.6,7.17,9.09,30.6,7.17,,,16
412,Malick Thiaw,DF,GER,30.6,7.17,9.09,30.6,7.17,,,2
413,Ange-Yoan Bonny,FW,CIV,24.45,5.12,9.09,22.73,6.92,25.6,7.17,1
414,Moisés Caicedo,MF,ECU,30.6,7.17,9.09,30.6,7.17,,,19
415,Bart Verbruggen,GK,NED,30.6,7.17,9.09,30.6,7.17,,,9
416,William Saliba,DF,FRA,30.6,7.17,9.09,30.6,7.17,,,4
417,Abdukodir Khusanov,DF,UZB,30.6,7.17,9.09,30.6,7.17,,,17
418,Declan Rice,MF,ENG,30.6,7.17,9.09,30.6,7.17,,,8
419,Jude Bellingham,MF,ENG,30.6,7.17,9.09,30.6,7.17,,,6
420,Matěj Kovář,GK,CZE,25.45,5.47,9.04,25.45,5.47,,,10
421,Kevin Rodríguez,FW,ECU,25.75,5.58,9.01,25.75,5.58,,,18
422,Matías Viña,DF,URU,25.12,5.37,9.01,25.12,5.37,,,6
423,Sultan Mandash,FW,KSA,24.36,5.12,9.0,24.36,5.12,,,4
424,Abdulelah Al-Amri,DF,KSA,24.34,5.12,8.98,24.34,5.12,,,10
425,Jhon Córdoba,FW,COL,25.3,5.44,8.98,25.3,5.44,,,12
426,Mohamed Kanno,MF,KSA,25.41,5.48,8.97,25.41,5.48,,,19
427,Akam Hashim,DF,IRQ,23.91,4.98,8.97,23.91,4.98,,,14
428,Xaver Schlager,MF,AUT,25.08,5.37,8.97,25.08,5.37,,,7
429,Rui Silva,GK,POR,24.42,5.15,8.97,24.42,5.15,,,2
430,David Douděra,DF,CZE,25.16,5.41,8.93,25.16,5.41,,,6
431,Israel Reyes,DF,MEX,24.76,5.28,8.92,24.76,5.28,,,7
432,Ali Abdi,DF,TUN,24.02,5.05,8.87,24.02,5.05,,,10
433,Hamdy Fathy,MF,EGY,24.35,5.16,8.87,24.35,5.16,,,11
434,Takehiro Tomiyasu,DF,JPN,24.82,5.32,8.86,24.82,5.32,,,3
435,Sontje Hansen,FW,CUW,25.23,5.46,8.85,25.23,5.46,,,5
436,Nathan Aké,DF,NED,24.98,5.39,8.81,24.98,5.39,,,6
437,Alejandro Zendejas,FW,USA,24.67,5.29,8.8,24.67,5.29,,,1
438,Ar'jany Martha,MF,CUW,24.49,5.23,8.8,24.49,5.23,,,4
439,Ali Jasim,FW,IRQ,24.24,5.15,8.79,24.24,5.15,,,26
440,Jan Kuchta,FW,CZE,24.5,5.24,8.78,24.5,5.24,,,3
441,Gustavo Velázquez,DF,PAR,24.05,5.09,8.78,24.05,5.09,,,7
442,Marcus Holmgren Pedersen,DF,NOR,24.29,5.17,8.78,24.29,5.17,,,4
443,Gessime Yassine,FW,MAR,23.14,4.79,8.77,26.94,5.29,20.6,7.17,3
444,Amirhossein Hosseinzadeh,FW,IRN,24.56,5.27,8.75,24.56,5.27,,,8
445,Alexander Schlager,GK,AUT,24.46,5.24,8.74,24.46,5.24,,,7
446,Leverton Pierre,MF,HAI,24.03,5.1,8.73,24.03,5.1,,,12
447,Cucho Hernández,FW,COL,23.88,5.05,8.73,25.6,7.17,22.73,6.92,4
448,Joe Scally,DF,USA,24.57,5.29,8.7,24.57,5.29,,,4
449,Mohanad Ali,FW,IRQ,24.49,5.27,8.68,24.49,5.27,,,25
450,Alidu Seidu,DF,GHA,25.15,5.49,8.68,25.15,5.49,,,6
451,Fredrik André Bjørkan,DF,NOR,24.42,5.25,8.67,24.42,5.25,,,6
452,Duke Lacroix,DF,HAI,24.89,5.42,8.63,24.89,5.42,,,11
453,Lee Han-beom,DF,KOR,24.34,5.24,8.62,24.34,5.24,,,5
454,Gerónimo Rulli,GK,ARG,24.72,5.37,8.61,24.72,5.37,,,3
455,Yacine Titraoui,MF,ALG,24.3,5.23,8.61,24.3,5.23,,,2
456,Nizar Al-Rashdan,MF,JOR,24.44,5.28,8.6,24.44,5.28,,,23
457,Brian Cipenga,MF,COD,24.17,5.2,8.57,24.17,5.2,,,5
458,Elliot Stroud,DF,SWE,24.43,5.29,8.56,24.43,5.29,,,1
459,Willer Ditta,DF,COL,24.12,5.21,8.49,24.12,5.21,,,4
460,Nathan Ngoy,DF,BEL,23.63,5.05,8.48,22.73,6.92,24.23,7.03,4
461,Hjalmar Ekdal,DF,SWE,24.31,5.28,8.47,24.31,5.28,,,4
462,Deiver Machado,DF,COL,24.12,5.22,8.46,24.12,5.22,,,8
463,Kim Moon-hwan,DF,KOR,23.96,5.17,8.45,23.96,5.17,,,4
464,Jens Petter Hauge,MF,NOR,24.68,5.42,8.42,24.68,5.42,,,4
465,Nathanaël Mbuku,MF,COD,23.92,5.17,8.41,23.92,5.17,,,9
466,Simon Banza,FW,COD,24.57,5.39,8.4,24.57,5.39,,,3
467,Julián Quiñones,FW,MEX,24.24,5.29,8.37,24.24,5.29,,,4
468,David Alaba (captain),DF,AUT,24.08,5.24,8.36,24.08,5.24,,,6
469,Carl Starfelt,DF,SWE,22.78,4.81,8.35,26.05,5.39,20.6,7.17,4
470,Zeki Amdouni,FW,SUI,24.09,5.25,8.34,24.09,5.25,,,2
471,Utkir Yusupov,GK,UZB,24.15,5.27,8.34,24.15,5.27,,,21
